part,category,korean,english,time_limit_sec
Part 3,혼자vs같이,저는 더 편안함을 느끼고 더 잘 집중할 수 있어요.,I feel more comfortable and I can focus better,30
Part 3,혼자vs같이,저는 다른 사람을 기다리느라 시간을 낭비할 필요가 없어요.,I don't have to waste time waiting for others,30
Part 3,혼자vs같이,저는 집에서 더 편안함을 느껴요.,I feel more comfortable at home,30
Part 3,혼자vs같이,외출하느라 시간을 낭비할 필요가 없어서 저는 시간을 절약할 수 있어요.,I can save time because I don't have to waste time going out,30
Part 3,소통의 방식,그것은 더 개인적이고 더 밀접한 관계를 쌓을 수 있어요.,It's more personal and builds a closer relationship,30
Part 3,소통의 방식,그것은 오해를 덜 불러일으켜요.,It causes less misunderstanding,30
Part 3,위치와 접근성,그곳은 대중교통으로 쉽게 갈 수 있어요.,It is easily accessible by public transportation,30
Part 3,위치와 접근성,도보 거리에 많은 상점들이 있어요.,There are many shops within walking distance,30
Part 3,고객 서비스,우리는 고객의 피드백을 주의 깊게 들어야 해요.,We should listen to customer feedback carefully,30
Part 5,다양한 경험,그들은 새로운 것들을 배울 수 있어요.,They can learn new things,60
Part 5,다양한 경험,그들은 새로운 사람들을 만나고 인맥을 넓힐 수 있어요.,They can meet new people and expand their network,60
Part 5,다양한 경험,그들은 많은 것을 경험하고 그들의 견문을 넓힐 수 있어요.,They can have a lot of new experiences
